country_name,country_code,regime_category_index,spatial_democracy,parliament_chambers,lower_house_members,spatial_electoral,electoral_category_index,is_monarchy,is_democracy,is_presidential,is_colony,is_communist,has_proportional_voting,has_full_suffrage,is_multiparty,has_free_and_fair_election,has_alternation,has_new_constitution
Malaysia,MYS,1.0,0.4,2.0,222.0,1.6,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Maldives,MDV,2.0,1.0,1.0,85.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Mali,MLI,1.0,0.4285714285714285,1.0,147.0,2.4285714285714284,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Malta,MLT,0.0,0.6666666666666666,1.0,69.0,2.6666666666666665,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Marshall Islands,MHL,0.0,1.0,1.0,33.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Mauritania,MRT,4.0,0.5,2.0,146.0,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mauritius,MUS,0.0,0.5,1.0,70.0,2.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Mexico,MEX,2.0,0.75,2.0,500.0,2.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
"Micronesia, Fed. Sts.",FSM,1.0,1.0,1.0,14.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Moldova,MDA,0.0,1.0,1.0,101.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Monaco,MCO,0.0,1.0,1.0,24.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Mongolia,MNG,1.0,0.0,1.0,76.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Montenegro,MNE,3.0,0.75,1.0,81.0,2.75,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Morocco,MAR,5.0,0.3333333333333333,2.0,395.0,2.333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
