"gsis_id","headshot"
"ADK692150","https://static.www.nfl.com/image/private/f_auto,q_auto/league/yrc68elxd1fl4r5cw4od"
"00-0027123","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cuwqikwyf7umcnynnjuf"
"00-0021629","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jdhkmhstqykhvpowhzwa"
"00-0037412","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hi1jz8g2dtq0l6efegra"
"00-0030583","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kxnizze0ebe088ewwmbg"
"00-0026936","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hu7bpygwpaxcrmngdsxe"
"00-0000090","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ow4ncwkijefeewsriext"
"00-0034702","https://static.www.nfl.com/image/private/f_auto,q_auto/league/eryitbb4q4zoqou1h8ck"
"00-0000091","https://static.www.nfl.com/image/private/f_auto,q_auto/league/zmtfiezt3urfpqjqbfno"
"00-0000094","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cr5zavujkfeeiugacxyz"
"00-0000096","https://static.www.nfl.com/image/private/f_auto,q_auto/league/la6jp0ftakejeacqrdxw"
"00-0031549","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wyxfkarcjgqdz3pl8nnr"
"00-0036420","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rvttw0dofuy7plihfp0w"
"00-0033572","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/buapoaxrvjzwsr4l34mq"
"00-0000097","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bbm1kkik4ekmarc4mbzv"
"00-0030653","https://static.www.nfl.com/image/private/f_auto,q_auto/league/i7iw8gn1slsmja0z6gpy"
"00-0028450","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cmh9e4zxts5zlty58dkx"
"00-0026540","https://static.www.nfl.com/image/private/f_auto,q_auto/league/rnbukirecxqgrphfzqgw"
"00-0039177","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ehtavoyvgkypnbng6j8j"
"00-0033102","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hpstdltdmw7f6qqi7roa"
